Date,Price,Open,High,Low,Vol.,Change %
7/15/2019,12.895,13.725,13.725,13.41,0.14K,-2.90%
7/12/2019,13.28,12.65,13.15,12.65,0.09K,1.14%
7/11/2019,13.13,12.725,12.85,12.3,0.09K,8.20%
7/10/2019,12.135,11.35,12.125,11.35,0.39K,3.19%
7/9/2019,11.76,12.225,12.675,11.85,0.92K,-1.01%
7/8/2019,11.88,11.105,12.075,11.105,1.03K,5.93%
7/5/2019,11.215,10.575,11.245,10.255,0.17K,8.94%
7/3/2019,10.295,10.375,10.375,10.175,0.15K,0.68%
7/2/2019,10.225,10.65,10.855,10.25,0.13K,-1.35%
7/1/2019,10.365,10.57,10.675,10.25,0.17K,2.47%
6/28/2019,10.115,9.75,9.765,9.75,0.04K,7.89%
6/27/2019,9.375,9.375,9.375,9.375,,-2.55%
6/26/2019,9.62,9.62,9.62,9.62,,-2.29%
6/25/2019,9.845,9.875,9.875,9.875,0.01K,-3.48%
6/24/2019,10.2,10.2,10.2,10.2,0.01K,-1.50%
6/21/2019,10.355,9.8,10.295,9.775,0.07K,2.02%
6/20/2019,10.15,10.15,10.15,10.15,,-3.20%
6/19/2019,10.485,10.485,10.485,10.485,,-4.98%
6/18/2019,11.035,11.4,11.4,11.275,0.05K,-4.62%
6/17/2019,11.57,11.355,11.355,11.28,0.03K,2.21%
6/14/2019,11.32,11.35,11.35,11.35,0.02K,-0.66%
6/13/2019,11.395,11.52,11.63,11.35,0.04K,2.29%
6/12/2019,11.14,11.205,11.205,11.205,0.01K,-0.54%
6/11/2019,11.2,11.48,11.48,11.48,0.02K,-5.12%
6/10/2019,11.805,11.65,11.65,11.65,0.05K,2.47%
6/7/2019,11.52,11.245,11.475,11.245,0.05K,3.74%
6/6/2019,11.105,11.32,11.32,11.32,0.06K,-4.27%
6/5/2019,11.6,11.6,11.6,11.6,0.01K,-2.60%
6/4/2019,11.91,11.91,11.91,11.91,,7.30%
6/3/2019,11.1,11.1,11.1,11.1,,-0.94%
5/31/2019,11.205,11.205,11.205,11.205,0.01K,-2.35%
5/30/2019,11.475,11.475,11.475,11.475,,-6.13%
5/29/2019,12.225,12.225,12.225,12.225,,-2.36%
5/28/2019,12.52,12.52,12.52,12.52,,2.20%
5/24/2019,12.25,12.435,12.435,12.415,0.02K,-2.74%
5/23/2019,12.595,12.595,12.595,12.595,,-0.43%
5/22/2019,12.65,12.885,12.885,12.885,0.01K,-0.43%
5/21/2019,12.705,12.6,12.6,12.6,0.01K,-1.55%
5/20/2019,12.905,12.905,12.905,12.905,,0.39%
5/17/2019,12.855,12.935,12.935,12.935,0.00K,-3.96%
5/16/2019,13.385,13.385,13.385,13.385,,-3.39%
5/15/2019,13.855,13.855,13.855,13.855,,0.51%
5/14/2019,13.785,13.785,13.785,13.785,,0.18%
5/13/2019,13.76,13.76,13.76,13.76,,-1.68%
5/10/2019,13.995,13.995,13.995,13.995,,-3.18%
5/9/2019,14.455,14.455,14.455,14.455,,0.94%
5/8/2019,14.32,14.175,14.35,14.15,0.02K,1.17%
5/7/2019,14.155,14.325,14.325,14.125,0.04K,-1.26%
5/6/2019,14.335,14.335,14.335,14.335,,-1.58%
5/3/2019,14.565,14.565,14.565,14.565,,1.39%
5/2/2019,14.365,14.365,14.365,14.365,,2.21%
5/1/2019,14.055,14.1,14.1,14.05,0.03K,-2.33%
4/30/2019,14.39,14.425,14.425,14.425,0.01K,-0.93%
4/29/2019,14.525,14.525,14.525,14.525,,0.69%
4/26/2019,14.425,14.725,14.775,14.675,0.11K,-0.76%
4/25/2019,14.535,14.535,14.535,14.535,,1.89%
4/24/2019,14.265,14.425,14.425,14.425,0.01K,-1.07%
4/23/2019,14.42,14.105,14.5,14.105,0.04K,-0.28%
4/22/2019,14.46,14.46,14.46,14.46,,0.00%
4/18/2019,14.46,15,15,15,0.01K,-4.84%
4/17/2019,15.195,15.195,15.195,15.195,,2.43%
4/16/2019,14.835,14.85,14.85,14.85,0.01K,-1.17%
4/15/2019,15.01,15.64,15.64,15.285,0.03K,-5.33%
4/12/2019,15.855,15.895,15.9,15.8,0.03K,-0.88%
4/11/2019,15.995,15.55,15.9,15.55,0.04K,1.68%
4/10/2019,15.73,15.73,15.73,15.73,0.01K,-6.12%
4/9/2019,16.755,16.755,16.755,16.755,,4.95%
4/8/2019,15.965,16.575,16.95,16.2,0.04K,-4.03%
4/5/2019,16.635,16.635,16.635,16.635,0.01K,12.36%
4/4/2019,14.805,14.6,14.6,14.6,0.02K,4.33%
4/3/2019,14.19,13.7,13.7,13.7,0.02K,5.46%
4/2/2019,13.455,13.455,13.455,13.455,0.01K,-2.82%
4/1/2019,13.845,13.845,13.845,13.845,,-2.60%
3/29/2019,14.215,14.225,14.225,14.225,0.01K,-1.49%
3/28/2019,14.43,14.8,14.875,14.8,0.71K,-3.77%
3/27/2019,14.995,14.5,14.675,14.5,0.09K,4.24%
3/26/2019,14.385,14.2,14.415,14.2,0.13K,1.41%
3/25/2019,14.185,14.185,14.185,14.175,0.02K,-1.87%
3/22/2019,14.455,14.425,14.455,14.355,0.04K,-0.76%
3/21/2019,14.565,14.92,14.92,14.55,0.09K,-4.27%
3/20/2019,15.215,15.075,15.075,15.075,0.02K,1.40%
3/19/2019,15.005,15.2,15.25,14.975,0.13K,0.17%
3/18/2019,14.98,14.9,15.175,14.9,0.97K,-1.77%
3/15/2019,15.25,15.485,15.485,15.275,0.08K,-2.27%
3/14/2019,15.605,15.825,15.825,15.6,0.19K,-0.76%
3/13/2019,15.725,15.725,15.725,15.725,0.01K,-2.99%
3/12/2019,16.21,16.425,16.525,16.05,0.78K,-2.50%
3/11/2019,16.625,16.7,16.7,16.59,0.07K,-0.63%
3/8/2019,16.73,16.85,16.85,16.72,0.39K,-0.83%
3/7/2019,16.87,16.95,16.95,16.75,0.15K,0.12%
3/6/2019,16.85,17.025,17.05,17,0.11K,-1.92%
3/5/2019,17.18,17.475,17.475,17.175,0.36K,-1.26%
3/4/2019,17.4,17.375,17.5,17.375,0.07K,0.46%
3/1/2019,17.32,17.32,17.32,17.32,,-2.78%
2/28/2019,17.815,17.815,17.815,17.815,0.04K,1.14%
2/27/2019,17.615,17.325,17.635,17.325,0.05K,3.34%
2/26/2019,17.045,17.045,17.045,17.045,,0.59%
2/25/2019,16.945,17,17,17,0.01K,-1.65%
2/22/2019,17.23,17.23,17.23,17.23,,-1.66%
2/21/2019,17.52,17.52,17.52,17.52,,-3.44%
2/20/2019,18.145,18.145,18.145,18.145,,2.49%
2/19/2019,17.705,17.75,17.83,17.75,0.01K,-2.18%
2/15/2019,18.1,18.1,18.1,18.1,,1.94%
2/14/2019,17.755,18.165,18.165,17.81,0.03K,-1.47%
2/13/2019,18.02,17.8,17.875,17.8,0.10K,1.32%
2/12/2019,17.785,18,18,17.875,0.07K,-1.50%
2/11/2019,18.055,17.825,18.125,17.75,0.42K,-1.15%
2/8/2019,18.265,18.515,18.515,18.265,0.01K,-3.41%
2/7/2019,18.91,19.185,19.185,18.86,0.06K,-0.03%
2/6/2019,18.915,19.075,19.15,18.95,0.12K,-1.18%
2/5/2019,19.14,19.14,19.14,19.14,,-1.11%
2/4/2019,19.355,19.355,19.355,19.355,,0.28%
2/1/2019,19.3,19.3,19.3,19.3,,-2.77%
1/31/2019,19.85,19.665,19.665,19.665,0.01K,-1.64%
1/30/2019,20.18,20.18,20.18,20.18,,-1.97%
1/29/2019,20.585,20.6,20.6,20.6,0.02K,0.17%
1/28/2019,20.55,20.52,20.52,20.5,0.01K,-1.63%
1/25/2019,20.89,20.735,20.895,20.69,0.03K,-1.83%
1/24/2019,21.28,21.72,21.815,21.36,0.08K,-4.10%
1/23/2019,22.19,22.225,22.3,22.13,0.05K,1.72%
1/22/2019,21.815,21.805,21.885,21.605,0.13K,-3.49%
1/18/2019,22.605,22.84,23.015,22.525,0.09K,-1.70%
1/17/2019,22.995,22.64,23.135,22.64,0.03K,4.50%
1/16/2019,22.005,22.3,22.3,22.095,0.02K,0.02%
1/15/2019,22,22.035,22.035,21.945,0.02K,1.50%
1/14/2019,21.675,21.91,21.91,21.685,0.05K,-2.61%
1/11/2019,22.255,22.39,22.39,22.085,0.08K,2.68%
1/10/2019,21.675,21.705,21.705,21.705,0.01K,-0.21%
1/9/2019,21.72,22.515,22.515,21.745,0.02K,-1.67%
1/8/2019,22.09,22.165,22.165,22.165,0.01K,2.60%
1/7/2019,21.53,21.91,21.91,21.47,0.04K,-6.11%
1/4/2019,22.93,22.845,22.955,22.81,0.04K,3.03%
1/3/2019,22.255,22.215,22.215,22.115,0.01K,-0.98%
1/2/2019,22.475,22.28,22.55,22.145,0.02K,2.25%
12/31/2018,21.98,22.26,22.26,22.18,0.01K,-3.64%
12/28/2018,22.81,22.81,22.81,22.81,,-2.19%
12/27/2018,23.32,23.32,23.32,23.32,0.03K,-3.82%
12/26/2018,24.245,24.245,24.245,24.245,,0.00%
12/24/2018,24.245,24.735,24.76,24.275,0.06K,-2.63%
12/21/2018,24.9,24.65,24.745,24.65,0.06K,1.20%
12/20/2018,24.605,24.605,24.605,24.605,0.05K,1.63%
12/19/2018,24.21,24.21,24.21,24.21,0.03K,2.02%
12/18/2018,23.73,24.035,24.035,23.725,0.07K,-3.85%
12/17/2018,24.68,24.65,24.65,24.65,0.03K,0.14%
12/14/2018,24.645,24.665,24.79,24.66,0.03K,1.73%
12/13/2018,24.225,24.375,24.375,24.375,0.02K,1.28%
12/12/2018,23.92,24.05,24.19,24.05,0.03K,1.27%
12/11/2018,23.62,23.545,23.63,23.545,0.05K,1.59%
12/10/2018,23.25,23.265,23.3,23.265,0.03K,0.45%
12/7/2018,23.145,22.84,23.175,22.84,0.06K,-0.09%
12/6/2018,23.165,23.305,23.395,23.135,0.05K,-2.75%
12/5/2018,23.82,24.11,24.11,24.11,0.09K,-2.44%
12/4/2018,24.415,24.395,24.395,24.375,0.04K,-2.67%
12/3/2018,25.085,25.085,25.085,25.085,0.04K,1.60%
